cluster_1	cluster_2	Jaccard	Overlap
dump.out.ecoli60.mci.I60_148	dump.out.ecoli60.mci.I14_1	0.004677268475210477	1.0
dump.out.ecoli60.mci.I60_149	dump.out.ecoli60.mci.I14_20	0.20833333333333334	1.0
dump.out.ecoli60.mci.I60_151	dump.out.ecoli60.mci.I14_7	0.07142857142857142	1.0
dump.out.ecoli60.mci.I60_152	dump.out.ecoli60.mci.I14_1	0.004677268475210477	1.0
dump.out.ecoli60.mci.I60_153	dump.out.ecoli60.mci.I14_91	1.0	1.0
dump.out.ecoli60.mci.I60_154	dump.out.ecoli60.mci.I14_3	0.011848341232227487	1.0
dump.out.ecoli60.mci.I60_155	dump.out.ecoli60.mci.I14_92	1.0	1.0
dump.out.ecoli60.mci.I60_156	dump.out.ecoli60.mci.I14_93	1.0	1.0
dump.out.ecoli60.mci.I60_157	dump.out.ecoli60.mci.I14_94	1.0	1.0
dump.out.ecoli60.mci.I60_158	dump.out.ecoli60.mci.I14_2	0.01179245283018868	1.0
dump.out.ecoli60.mci.I60_159	dump.out.ecoli60.mci.I14_20	0.20833333333333334	1.0
dump.out.ecoli60.mci.I60_160	dump.out.ecoli60.mci.I14_2	0.01179245283018868	1.0
dump.out.ecoli60.mci.I60_161	dump.out.ecoli60.mci.I14_26	0.35714285714285715	1.0
dump.out.ecoli60.mci.I60_162	dump.out.ecoli60.mci.I14_97	1.0	1.0
dump.out.ecoli60.mci.I60_163	dump.out.ecoli60.mci.I14_18	0.12	0.75
dump.out.ecoli60.mci.I60_165	dump.out.ecoli60.mci.I14_3	0.009478672985781991	1.0
dump.out.ecoli60.mci.I60_166	dump.out.ecoli60.mci.I14_15	0.14285714285714285	1.0
dump.out.ecoli60.mci.I60_167	dump.out.ecoli60.mci.I14_98	1.0	1.0
dump.out.ecoli60.mci.I60_168	dump.out.ecoli60.mci.I14_3	0.009478672985781991	1.0
dump.out.ecoli60.mci.I60_169	dump.out.ecoli60.mci.I14_3	0.009478672985781991	1.0
dump.out.ecoli60.mci.I60_170	dump.out.ecoli60.mci.I14_42	0.4444444444444444	1.0
