dump.out.ecoli60.mci.I60_1230	dump.out.ecoli60.mci.I14_492	dump.out.ecoli60.mci.I20_643 
dump.out.ecoli60.mci.I60_1232	dump.out.ecoli60.mci.I14_493	dump.out.ecoli60.mci.I20_644 
dump.out.ecoli60.mci.I60_1233	dump.out.ecoli60.mci.I14_494	dump.out.ecoli60.mci.I20_645 
dump.out.ecoli60.mci.I60_1235	dump.out.ecoli60.mci.I14_495	dump.out.ecoli60.mci.I20_646 
dump.out.ecoli60.mci.I60_1238	dump.out.ecoli60.mci.I14_496	dump.out.ecoli60.mci.I20_647 
dump.out.ecoli60.mci.I60_1239	dump.out.ecoli60.mci.I14_497	dump.out.ecoli60.mci.I20_648 
dump.out.ecoli60.mci.I60_1240	dump.out.ecoli60.mci.I14_498	dump.out.ecoli60.mci.I20_649 
dump.out.ecoli60.mci.I60_1242	dump.out.ecoli60.mci.I14_499	dump.out.ecoli60.mci.I20_650 
dump.out.ecoli60.mci.I60_1243	dump.out.ecoli60.mci.I14_500	dump.out.ecoli60.mci.I20_651 
dump.out.ecoli60.mci.I60_1245	dump.out.ecoli60.mci.I14_501	dump.out.ecoli60.mci.I20_652 
dump.out.ecoli60.mci.I60_1247	dump.out.ecoli60.mci.I14_502	dump.out.ecoli60.mci.I20_653 
dump.out.ecoli60.mci.I60_1249	dump.out.ecoli60.mci.I14_503	dump.out.ecoli60.mci.I20_654 
dump.out.ecoli60.mci.I60_1253	dump.out.ecoli60.mci.I14_504	dump.out.ecoli60.mci.I20_655 
dump.out.ecoli60.mci.I60_1254	dump.out.ecoli60.mci.I14_505	dump.out.ecoli60.mci.I20_656 
dump.out.ecoli60.mci.I60_1255	dump.out.ecoli60.mci.I14_506	dump.out.ecoli60.mci.I20_657 
dump.out.ecoli60.mci.I14_8	dump.out.ecoli60.mci.I60_6	dump.out.ecoli60.mci.I20_7 
dump.out.ecoli60.mci.I14_11	dump.out.ecoli60.mci.I60_13	dump.out.ecoli60.mci.I20_14 
dump.out.ecoli60.mci.I14_24	dump.out.ecoli60.mci.I60_42	dump.out.ecoli60.mci.I20_44 
dump.out.ecoli60.mci.I14_25	dump.out.ecoli60.mci.I60_62	dump.out.ecoli60.mci.I20_36 
dump.out.ecoli60.mci.I14_27	dump.out.ecoli60.mci.I60_37	dump.out.ecoli60.mci.I20_40 
dump.out.ecoli60.mci.I14_28	dump.out.ecoli60.mci.I60_83	dump.out.ecoli60.mci.I20_56 
dump.out.ecoli60.mci.I14_29	dump.out.ecoli60.mci.I60_86	dump.out.ecoli60.mci.I20_63 
dump.out.ecoli60.mci.I14_30	dump.out.ecoli60.mci.I60_97	dump.out.ecoli60.mci.I20_71 
dump.out.ecoli60.mci.I14_32	dump.out.ecoli60.mci.I60_44	dump.out.ecoli60.mci.I20_48 
dump.out.ecoli60.mci.I14_34	dump.out.ecoli60.mci.I60_112	dump.out.ecoli60.mci.I20_81 
dump.out.ecoli60.mci.I14_36	dump.out.ecoli60.mci.I60_78	dump.out.ecoli60.mci.I20_52 
dump.out.ecoli60.mci.I14_39	dump.out.ecoli60.mci.I60_48	dump.out.ecoli60.mci.I20_55 
dump.out.ecoli60.mci.I14_40	dump.out.ecoli60.mci.I60_57	dump.out.ecoli60.mci.I20_62 
dump.out.ecoli60.mci.I14_41	dump.out.ecoli60.mci.I60_70	dump.out.ecoli60.mci.I20_29 
dump.out.ecoli60.mci.I14_46	dump.out.ecoli60.mci.I60_64	dump.out.ecoli60.mci.I20_70 
dump.out.ecoli60.mci.I14_47	dump.out.ecoli60.mci.I60_81	dump.out.ecoli60.mci.I20_57 
dump.out.ecoli60.mci.I14_48	dump.out.ecoli60.mci.I60_85	dump.out.ecoli60.mci.I20_90 
dump.out.ecoli60.mci.I14_49	dump.out.ecoli60.mci.I60_107	dump.out.ecoli60.mci.I20_64 
dump.out.ecoli60.mci.I14_50	dump.out.ecoli60.mci.I60_114	dump.out.ecoli60.mci.I20_116 
dump.out.ecoli60.mci.I14_51	dump.out.ecoli60.mci.I60_80	dump.out.ecoli60.mci.I20_53 
dump.out.ecoli60.mci.I14_52	dump.out.ecoli60.mci.I60_103	dump.out.ecoli60.mci.I20_101 
dump.out.ecoli60.mci.I14_53	dump.out.ecoli60.mci.I60_69	dump.out.ecoli60.mci.I20_75 
dump.out.ecoli60.mci.I14_54	dump.out.ecoli60.mci.I60_222	dump.out.ecoli60.mci.I20_169 
dump.out.ecoli60.mci.I14_56	dump.out.ecoli60.mci.I60_111	dump.out.ecoli60.mci.I20_113 
dump.out.ecoli60.mci.I14_57	dump.out.ecoli60.mci.I60_121	dump.out.ecoli60.mci.I20_179 
dump.out.ecoli60.mci.I14_58	dump.out.ecoli60.mci.I60_116	dump.out.ecoli60.mci.I20_119 
dump.out.ecoli60.mci.I14_62	dump.out.ecoli60.mci.I60_199	dump.out.ecoli60.mci.I20_165 
dump.out.ecoli60.mci.I14_67	dump.out.ecoli60.mci.I60_237	dump.out.ecoli60.mci.I20_91 
dump.out.ecoli60.mci.I14_68	dump.out.ecoli60.mci.I60_110	dump.out.ecoli60.mci.I20_80 
dump.out.ecoli60.mci.I14_69	dump.out.ecoli60.mci.I60_91	dump.out.ecoli60.mci.I20_94 
dump.out.ecoli60.mci.I14_70	dump.out.ecoli60.mci.I60_122	dump.out.ecoli60.mci.I20_85 
dump.out.ecoli60.mci.I14_71	dump.out.ecoli60.mci.I60_226	dump.out.ecoli60.mci.I20_170 
dump.out.ecoli60.mci.I14_72	dump.out.ecoli60.mci.I60_99	dump.out.ecoli60.mci.I20_99 
dump.out.ecoli60.mci.I14_73	dump.out.ecoli60.mci.I60_131	dump.out.ecoli60.mci.I20_88 
dump.out.ecoli60.mci.I14_75	dump.out.ecoli60.mci.I60_210	dump.out.ecoli60.mci.I20_102 
dump.out.ecoli60.mci.I14_76	dump.out.ecoli60.mci.I60_217	dump.out.ecoli60.mci.I20_104 
dump.out.ecoli60.mci.I14_77	dump.out.ecoli60.mci.I60_229	dump.out.ecoli60.mci.I20_171 
dump.out.ecoli60.mci.I14_78	dump.out.ecoli60.mci.I60_228	dump.out.ecoli60.mci.I20_135 
dump.out.ecoli60.mci.I14_79	dump.out.ecoli60.mci.I60_106	dump.out.ecoli60.mci.I20_107 
dump.out.ecoli60.mci.I14_81	dump.out.ecoli60.mci.I60_246	dump.out.ecoli60.mci.I20_117 
dump.out.ecoli60.mci.I14_83	dump.out.ecoli60.mci.I60_182	dump.out.ecoli60.mci.I20_125 
dump.out.ecoli60.mci.I14_84	dump.out.ecoli60.mci.I60_126	dump.out.ecoli60.mci.I20_129 
dump.out.ecoli60.mci.I14_85	dump.out.ecoli60.mci.I60_277	dump.out.ecoli60.mci.I20_159 
dump.out.ecoli60.mci.I14_86	dump.out.ecoli60.mci.I60_326	dump.out.ecoli60.mci.I20_168 
dump.out.ecoli60.mci.I14_88	dump.out.ecoli60.mci.I60_398	dump.out.ecoli60.mci.I20_256 
dump.out.ecoli60.mci.I14_90	dump.out.ecoli60.mci.I60_232	dump.out.ecoli60.mci.I20_136 
dump.out.ecoli60.mci.I14_91	dump.out.ecoli60.mci.I60_153	dump.out.ecoli60.mci.I20_137 
dump.out.ecoli60.mci.I14_92	dump.out.ecoli60.mci.I60_155	dump.out.ecoli60.mci.I20_138 
dump.out.ecoli60.mci.I14_93	dump.out.ecoli60.mci.I60_156	dump.out.ecoli60.mci.I20_139 
dump.out.ecoli60.mci.I14_94	dump.out.ecoli60.mci.I60_157	dump.out.ecoli60.mci.I20_140 
dump.out.ecoli60.mci.I14_95	dump.out.ecoli60.mci.I60_399	dump.out.ecoli60.mci.I20_257 
dump.out.ecoli60.mci.I14_96	dump.out.ecoli60.mci.I60_395	dump.out.ecoli60.mci.I20_143 
dump.out.ecoli60.mci.I14_97	dump.out.ecoli60.mci.I60_162	dump.out.ecoli60.mci.I20_144 
dump.out.ecoli60.mci.I14_98	dump.out.ecoli60.mci.I60_167	dump.out.ecoli60.mci.I20_145 
dump.out.ecoli60.mci.I14_99	dump.out.ecoli60.mci.I20_148	dump.out.ecoli60.mci.I60_428 
dump.out.ecoli60.mci.I14_99	dump.out.ecoli60.mci.I20_148	dump.out.ecoli60.mci.I60_429 
dump.out.ecoli60.mci.I14_100	dump.out.ecoli60.mci.I60_254	dump.out.ecoli60.mci.I20_185 
dump.out.ecoli60.mci.I14_101	dump.out.ecoli60.mci.I60_179	dump.out.ecoli60.mci.I20_151 
dump.out.ecoli60.mci.I14_102	dump.out.ecoli60.mci.I60_390	dump.out.ecoli60.mci.I20_254 
dump.out.ecoli60.mci.I14_103	dump.out.ecoli60.mci.I60_264	dump.out.ecoli60.mci.I20_126 
dump.out.ecoli60.mci.I14_104	dump.out.ecoli60.mci.I60_123	dump.out.ecoli60.mci.I20_124 
dump.out.ecoli60.mci.I14_105	dump.out.ecoli60.mci.I60_186	dump.out.ecoli60.mci.I20_156 
dump.out.ecoli60.mci.I14_106	dump.out.ecoli60.mci.I60_470	dump.out.ecoli60.mci.I20_197 
dump.out.ecoli60.mci.I14_108	dump.out.ecoli60.mci.I60_197	dump.out.ecoli60.mci.I20_163 
dump.out.ecoli60.mci.I14_109	dump.out.ecoli60.mci.I60_198	dump.out.ecoli60.mci.I20_164 
dump.out.ecoli60.mci.I14_110	dump.out.ecoli60.mci.I20_300	dump.out.ecoli60.mci.I60_559 
dump.out.ecoli60.mci.I14_110	dump.out.ecoli60.mci.I60_490	dump.out.ecoli60.mci.I20_279 
dump.out.ecoli60.mci.I14_111	dump.out.ecoli60.mci.I60_213	dump.out.ecoli60.mci.I20_167 
dump.out.ecoli60.mci.I14_112	dump.out.ecoli60.mci.I60_335	dump.out.ecoli60.mci.I20_232 
dump.out.ecoli60.mci.I14_113	dump.out.ecoli60.mci.I60_584	dump.out.ecoli60.mci.I20_310 
dump.out.ecoli60.mci.I14_114	dump.out.ecoli60.mci.I60_380	dump.out.ecoli60.mci.I20_249 
dump.out.ecoli60.mci.I14_115	dump.out.ecoli60.mci.I60_614	dump.out.ecoli60.mci.I20_325 
dump.out.ecoli60.mci.I14_116	dump.out.ecoli60.mci.I60_358	dump.out.ecoli60.mci.I20_238 
dump.out.ecoli60.mci.I14_117	dump.out.ecoli60.mci.I60_243	dump.out.ecoli60.mci.I20_178 
dump.out.ecoli60.mci.I14_118	dump.out.ecoli60.mci.I60_245	dump.out.ecoli60.mci.I20_180 
dump.out.ecoli60.mci.I14_119	dump.out.ecoli60.mci.I60_633	dump.out.ecoli60.mci.I20_332 
dump.out.ecoli60.mci.I14_120	dump.out.ecoli60.mci.I60_256	dump.out.ecoli60.mci.I20_186 
dump.out.ecoli60.mci.I14_121	dump.out.ecoli60.mci.I60_728	dump.out.ecoli60.mci.I20_187 
dump.out.ecoli60.mci.I14_122	dump.out.ecoli60.mci.I60_259	dump.out.ecoli60.mci.I20_190 
dump.out.ecoli60.mci.I14_123	dump.out.ecoli60.mci.I60_498	dump.out.ecoli60.mci.I20_281 
dump.out.ecoli60.mci.I14_124	dump.out.ecoli60.mci.I60_270	dump.out.ecoli60.mci.I20_194 
dump.out.ecoli60.mci.I14_125	dump.out.ecoli60.mci.I60_468	dump.out.ecoli60.mci.I20_196 
dump.out.ecoli60.mci.I14_126	dump.out.ecoli60.mci.I60_630	dump.out.ecoli60.mci.I20_331 
dump.out.ecoli60.mci.I14_127	dump.out.ecoli60.mci.I60_275	dump.out.ecoli60.mci.I20_198 
dump.out.ecoli60.mci.I14_128	dump.out.ecoli60.mci.I60_617	dump.out.ecoli60.mci.I20_326 
dump.out.ecoli60.mci.I14_129	dump.out.ecoli60.mci.I60_483	dump.out.ecoli60.mci.I20_199 
dump.out.ecoli60.mci.I14_130	dump.out.ecoli60.mci.I60_285	dump.out.ecoli60.mci.I20_201 
dump.out.ecoli60.mci.I14_131	dump.out.ecoli60.mci.I60_290	dump.out.ecoli60.mci.I20_203 
dump.out.ecoli60.mci.I14_132	dump.out.ecoli60.mci.I60_291	dump.out.ecoli60.mci.I20_204 
dump.out.ecoli60.mci.I14_133	dump.out.ecoli60.mci.I60_642	dump.out.ecoli60.mci.I20_337 
dump.out.ecoli60.mci.I14_134	dump.out.ecoli60.mci.I60_717	dump.out.ecoli60.mci.I20_209 
dump.out.ecoli60.mci.I14_135	dump.out.ecoli60.mci.I60_507	dump.out.ecoli60.mci.I20_283 
dump.out.ecoli60.mci.I14_136	dump.out.ecoli60.mci.I60_298	dump.out.ecoli60.mci.I20_211 
dump.out.ecoli60.mci.I14_137	dump.out.ecoli60.mci.I60_301	dump.out.ecoli60.mci.I20_212 
dump.out.ecoli60.mci.I14_138	dump.out.ecoli60.mci.I60_302	dump.out.ecoli60.mci.I20_213 
dump.out.ecoli60.mci.I14_139	dump.out.ecoli60.mci.I60_305	dump.out.ecoli60.mci.I20_215 
dump.out.ecoli60.mci.I14_140	dump.out.ecoli60.mci.I60_306	dump.out.ecoli60.mci.I20_216 
dump.out.ecoli60.mci.I14_141	dump.out.ecoli60.mci.I60_313	dump.out.ecoli60.mci.I20_218 
dump.out.ecoli60.mci.I14_142	dump.out.ecoli60.mci.I60_318	dump.out.ecoli60.mci.I20_220 
dump.out.ecoli60.mci.I14_143	dump.out.ecoli60.mci.I60_320	dump.out.ecoli60.mci.I20_221 
dump.out.ecoli60.mci.I14_144	dump.out.ecoli60.mci.I60_547	dump.out.ecoli60.mci.I20_295 
dump.out.ecoli60.mci.I14_145	dump.out.ecoli60.mci.I60_549	dump.out.ecoli60.mci.I20_296 
dump.out.ecoli60.mci.I14_146	dump.out.ecoli60.mci.I60_231	dump.out.ecoli60.mci.I20_172 
dump.out.ecoli60.mci.I14_147	dump.out.ecoli60.mci.I60_668	dump.out.ecoli60.mci.I20_345 
dump.out.ecoli60.mci.I14_148	dump.out.ecoli60.mci.I60_330	dump.out.ecoli60.mci.I20_230 
dump.out.ecoli60.mci.I14_149	dump.out.ecoli60.mci.I60_346	dump.out.ecoli60.mci.I20_234 
dump.out.ecoli60.mci.I14_150	dump.out.ecoli60.mci.I60_355	dump.out.ecoli60.mci.I20_236 
dump.out.ecoli60.mci.I14_151	dump.out.ecoli60.mci.I60_611	dump.out.ecoli60.mci.I20_323 
dump.out.ecoli60.mci.I14_152	dump.out.ecoli60.mci.I60_357	dump.out.ecoli60.mci.I20_237 
dump.out.ecoli60.mci.I14_153	dump.out.ecoli60.mci.I60_360	dump.out.ecoli60.mci.I20_239 
dump.out.ecoli60.mci.I14_154	dump.out.ecoli60.mci.I60_680	dump.out.ecoli60.mci.I20_240 
dump.out.ecoli60.mci.I14_155	dump.out.ecoli60.mci.I60_365	dump.out.ecoli60.mci.I20_241 
dump.out.ecoli60.mci.I14_156	dump.out.ecoli60.mci.I60_723	dump.out.ecoli60.mci.I20_245 
dump.out.ecoli60.mci.I14_157	dump.out.ecoli60.mci.I60_637	dump.out.ecoli60.mci.I20_334 
dump.out.ecoli60.mci.I14_158	dump.out.ecoli60.mci.I60_374	dump.out.ecoli60.mci.I20_246 
dump.out.ecoli60.mci.I14_159	dump.out.ecoli60.mci.I60_648	dump.out.ecoli60.mci.I20_339 
dump.out.ecoli60.mci.I14_160	dump.out.ecoli60.mci.I60_382	dump.out.ecoli60.mci.I20_251 
